"Donnel Drumm","唐纳·卓鼓","","",""
"Lady Whiskers (cat)","胡须小姐","","",""
"Moat Cailin","卡林湾","","",""
"Gendry","詹德利","","",""
"House Hightower","海塔尔家族","","",""
"The Bear and the Maiden Fair","狗熊与美少女","","",""
"Koj","鹿儿岛","","",""
"Quenten Banefort","昆腾·班佛特","","",""
"Galendro","加兰多","","",""
"Karyl Vance","卡列尔·凡斯","","",""
"Steffarion Sparr","斯塔法伦·斯帕","","",""
"Bethany Redwyne","蓓珊妮·雷德温","","",""
"Old Grey Gull","老灰鸥","","",""
"Sea Bitch","海婊子号","","",""
"Moonbloom","月花","","",""
"Pearse Caron","皮尔斯·卡伦","","",""
"Lysono Maar","兰索诺·马尔","","",""
"Motho","莫索","","",""
"House Swyft","史威佛家族","","",""
"House Rykker","莱克家族","","",""
"Allyria Dayne","阿莉里亚·戴恩","","",""
"Plummer","普默","","",""
"Janna Tyrell","洁娜·提利尔","","",""
"Erik Ironmaker","艾里·艾枚克","","",""
"Lotho Lornel","洛托·罗内尔","","",""
"Eddison Tollett","艾迪森·托勒特","","",""
"Weeping Lady of Lys","里斯哭泣女士","","",""
"House Tully","徒利家族","","",""
"Brandon Stark (Bad)","布兰登·史塔克(恶人)","","",""
"Last dragon","最后的龙","","",""
"Hugo Vance","雨果·凡斯","","",""
"Garrett Greenspear","盖略特","","",""
"Lyle Crakehall","李勒·克雷赫","","",""
"Lord Dondarrion","唐德利恩伯爵(曼佛德之父)","","",""
"Valyrian Peninsula","瓦雷利亚半岛","","",""
"Runes","符文","","",""
"Gawen Glover","加文·葛洛佛","","",""
"Quenton Greyjoy","昆顿·葛雷乔伊","","",""
"Ghaen","吉恩岛","","",""
"Seven Kingdoms","七大王国","","",""
"Jothos Slynt","杰索·史林特","","",""
"Lord Tywin (ship)","泰温公爵号","","",""
"Talon","利爪号","","",""
"Ferny","芬妮","","",""
"Balerion (ship)","贝勒里恩号","","",""
"House Grafton","格拉夫森家族","","",""
"Humfrey Hightower","亨佛利·海塔尔","","",""
"Larys Strong","拉里斯·斯壮","","",""
"Heart (Great Pyramid)","中心(大金字塔)","","",""
"Marwyn","马尔温","","",""
"House Harclay","哈克莱氏族","","",""
"Godric Borrell","高德瑞奇·波内尔","","",""
"Shadd","夏德","","",""
"Walys Flower","维里斯·佛花","","",""
"Alicent Hightower","阿莉森·海塔尔","","",""
"House Turnberry","特拔瑞家族","","",""
"Ghost (ship)","幽灵号","","",""
"Mariah Stark","弥丽亚·史塔克","","",""
"Alvyn Sharp","艾文·夏普","","",""
"House Follard","佛拉德家族","","",""
"Lioness (ship))","母狮号","","",""
"Wild hares","野兔兵团","","",""
"Denys Drumm","丹尼斯·卓鼓","","",""
"Wine","酒","","",""
"Timoth","提莫斯","","",""
"House Reed","黎德家族","","",""
"Balerion (disambiguation)","贝勒里恩(消歧义)","","",""
"Long Lake","长湖","","",""
"Sweetsister","甜姐岛","","",""
"House Celtigar","赛提加家族","","",""
"House Locke","洛克家族","","",""
"Reynard Reyne","雷纳多·雷耶斯","","",""
"Ironborn","铁种","","",""
"Squinter","斜眼","","",""
"Leonette Fossoway","莱昂妮·佛索威","","",""
"Garth Greenfield","加尔斯·格林菲尔","","",""
"Dusky Roses","黑蔷薇","","",""
"Lord of Harmony (god)","和谐之神","","",""
"Rhaena Targaryen","雷妮亚·坦格利安(伊耿三世之女)","","",""
"Doreah","多莉亚","","",""
"wraith","海灵号","","",""
"Dothraki","多斯拉克人","","",""
"Stone dragon","石龙","","",""
"Turnip","芜菁","","",""
"Garth Greenhand","“青手”加尔斯","","",""
"Mhaegen","梅玵","","",""
"Lady's Shame","夫人之耻号","","",""
"Alannys Harlaw","亚拉妮丝·哈尔洛","","",""
"Oxcross","牛津镇","","",""
"Grazdan mo Eraz","格拉兹旦·莫·厄拉兹","","",""
"Centaurs","半人马","","",""
"Ramsay Bolton","拉姆斯·波顿","","",""
"Great Kraken","泓洋巨怪号","","",""
"Patrek of King's Mountain","国王山的派崔克","","",""
"Andal Invasion","安达尔人入侵","","",""
"Jason Lannister (disambiguation)","杰森·兰尼斯特(消歧义)","","",""
"Harmune","哈慕恩(博士)","","",""
"Korra","柯拉","","",""
"Last Hearth","最后壁炉城","","",""
"Daemon III Blackfyre","戴蒙·黑火三世","","",""
"Hagen's daughter","霍根的女儿","","",""
"Arlan of Pennytree","铜分树村的阿兰","","",""
"Lord Lefford","莱佛德伯爵","","",""
"Order of the Green Hand","绿手骑士团","","",""
"Bodger","波吉","","",""
"Red Rain","红雨","","",""
"Giants","巨人","","",""
"Fire and Blood","血与火(现实作品)","","",""
"Rodrik Stark","罗德利克·史塔克","","",""
"The Princess and the Queen","危险的女人","","",""
"House Cole","科尔家族","","",""
"Colloquo Votar","柯洛阔·弗塔","","",""
"City of the Winged Men","翼人城","","",""
"Wynafrei Whent","维纳芙·河安","","",""
"Rohanne Webber","罗翰妮·维伯","","",""
"Thoros of Myr","密尔的索罗斯","","",""
"Six sisters (trebuchets)","六姐妹","","",""
"Bill Bone","老骨头比尔","","",""
"Bog devils","沼泽魔鬼","","",""
"Assadora of Ibben","伊班的艾萨朵拉","","",""
"Jaehaerys Targaryen (son of Aerys II)","杰赫里斯·坦格利安(伊里斯二世之子)","","",""
"Wailing Tower","号哭塔","","",""
"Fellwood","费尔伍德城","","",""
"The Sworn Sword","誓言骑士","","",""
"Jaremy Rykker","杰瑞米·莱克","","",""
"Clarence Crabb","克莱伦斯·克莱勃","","",""
"Iron Vengeance","复仇铁种号","","",""
"Dale Drumm","戴尔·卓鼓","","",""
"House Upcliff","厄利夫家族","","",""
"Sea of Sighs","叹息之海","","",""
"Erena Glover","艾娜·葛洛佛","","",""
"Grey Jeyne","灰简妮","","",""
"Lhazar","拉札","","",""
""""Sack of Astapor""","""阿斯塔波之战""","""""","""""",""""""
"""Jeffory Norcross""","""乔佛里·诺科斯""","""""","""""",""""""
"""Alysane Mormont""","""亚莉珊·莫尔蒙""","""""","""""",""""""
"""Simon Strong""","""西蒙·斯壮""","""""","""""",""""""
"""Gylbert Farwynd""","""吉尔伯特·法温""","""""","""""",""""""
"""Daenerys Targaryen (daughter of Aegon IV)""","""丹妮莉丝·坦格利安(伊耿四世之女)""","""""","""""",""""""
"""Great Empire of the Dawn""","""黎明帝国""","""""","""""",""""""
"""Roose Bolton""","""卢斯·波顿""","""""","""""",""""""
"""Lythene Frey""","""丽丝妮·佛雷""","""""","""""",""""""
"""Mother (the Seven)""","""圣母""","""""","""""",""""""
"""Franklyn Fowler""","""福兰克林·佛勒""","""""","""""",""""""
"""Brandon Stark (son of Cregan)""","""布兰登·史塔克(克雷根之子)""","""""","""""",""""""
"""Edwyd Fossoway""","""艾德威·佛索威""","""""","""""",""""""
"""House Byrch""","""拜奇家族""","""""","""""",""""""
"""Wise Masters""","""贤主""","""""","""""",""""""
"""Skipping Stones""","""跳石滩""","""""","""""",""""""
"""Ygritte""","""耶哥蕊特""","""""","""""",""""""
"""Elenei""","""依妮""","""""","""""",""""""
"""Orange Shore""","""橙色海岸""","""""","""""",""""""
"""Jommo""","""鸠摩""","""""","""""",""""""
"""Smoking Sea""","""烟海""","""""","""""",""""""
"""Harwyn Hoare""","""哈尔温·霍尔""","""""","""""",""""""
"""Sherrit""","""谢瑞特""","""""","""""",""""""
"""A Clash of Kings""","""列王的纷争""","""""","""""",""""""
"""Bessa the Barmaid""","""酒馆女郎贝莎""","""""","""""",""""""
"""Dickon Manwoody""","""狄肯·曼伍笛""","""""","""""",""""""
"""Daeron Targaryen (son of Aegon V)""","""戴伦·坦格利安(伊耿五世之子)""","""""","""""",""""""
"""Flatlands""","""平地""","""""","""""",""""""
"""Runestone""","""符石城""","""""","""""",""""""
"""Jon Fossoway""","""琼恩·佛索威""","""""","""""",""""""
"""Cobblecat""","""卵石猫号""","""""","""""",""""""
"""Aerys I Targaryen""","""伊里斯·坦格利安一世""","""""","""""",""""""
"""Ellendor""","""艾兰多""","""""","""""",""""""
"""Qarkash""","""魁卡西""","""""","""""",""""""
"""House Blackfyre""","""黑火家族""","""""","""""",""""""
"""Tall Trees Town""","""高树镇""","""""","""""",""""""
"""Barrowlands""","""先民荒冢""","""""","""""",""""""
"""Battle of the Kingsroad""","""国王大道之役""","""""","""""",""""""
"""Greenguard""","""绿卫堡""","""""","""""",""""""
"""Yellow Dick""","""黄迪克""","""""","""""",""""""
"""Ghaston Grey""","""灰怖堡""","""""","""""",""""""
"""Qotho""","""柯索""","""""","""""",""""""
"""House Karstark""","""卡史塔克家族""","""""","""""",""""""
"""Dorcas""","""多卡莎""","""""","""""",""""""
"""Mistwood""","""雾林城""","""""","""""",""""""
"""Merlon Crakehall""","""梅隆·克雷赫""","""""","""""",""""""
"""Let Me Drink Your Beauty""","""让我啜吸你的美丽""","""""","""""",""""""
"""Wonders""","""奇迹""","""""","""""",""""""
"""Harrag Hoare""","""哈拉吉·霍尔""","""""","""""",""""""
"""Beyond the Wall""","""塞外""","""""","""""",""""""
"""Tickler""","""记事本""","""""","""""",""""""
"""Davos Dayne""","""戴佛斯·戴恩""","""""","""""",""""""
"""Jeyne Heddle""","""简妮·海德""","""""","""""",""""""
"""Uhlan""","""乌汉""","""""","""""",""""""
"""Melwyn Sarsfield""","""梅温·萨斯菲尔德""","""""","""""",""""""
"""Vaes Mejhah""","""维斯·梅耶哈""","""""","""""",""""""
"""Bloodbeard""","""血胡子""","""""","""""",""""""
"""House Varner""","""瓦尔纳家族""","""""","""""",""""""
"""Rycherd Crane""","""理查德·克连恩""","""""","""""",""""""
"""Manfryd Yew""","""曼佛利·宇""","""""","""""",""""""
"""Brea""","""布瑞亚""","""""","""""",""""""
"""Ruling council of Meereen""","""弥林执政议会""","""""","""""",""""""
"""Garth (Wolf's Den)""","""加尔斯(狼穴)""","""""","""""",""""""
"""Symon Santagar""","""西蒙·桑塔加""","""""","""""",""""""
"""Kite""","""风筝号""","""""","""""",""""""
"""Poisoned locusts""","""毒蝗虫""","""""","""""",""""""
"""Rupert Brax""","""卢伯特·布拉克斯""","""""","""""",""""""
"""Corpse Lake""","""尸骸湖""","""""","""""",""""""
"""Sons of the Harpy""","""鹰身女妖之子""","""""","""""",""""""
"""Sand Snakes""","""沙蛇""","""""","""""",""""""
"""Rhaegar Frey""","""雷加·佛雷""","""""","""""",""""""
"""Dagon Greyjoy""","""达衮·葛雷乔伊""","""""","""""",""""""
"""Jeyne Darry""","""简妮·戴瑞""","""""","""""",""""""
"""House Meadows""","""梅斗家族""","""""","""""",""""""
"""A Game of Thrones (comics)""","""权力的游戏(漫画)""","""""","""""",""""""
"""Robb Stark""","""罗柏·史塔克""","""""","""""",""""""
"""Jonquil""","""琼琪""","""""","""""",""""""
"""Gareth the Grey""","""“灰人”加雷斯""","""""","""""",""""""
"""Cobble Cover""","""卵石滩""","""""","""""",""""""
"""Rawney""","""劳尼""","""""","""""",""""""
"""Addison Hill""","""安迪森·希山""","""""","""""",""""""
"""High Septon (Hightower)""","""总主教(海塔尔)""","""""","""""",""""""
"""Hullen""","""胡伦""","""""","""""",""""""
"""Dhazzar""","""达哈萨""","""""","""""",""""""
"""Kosrak""","""科斯拉克""","""""","""""",""""""
"""Quincy Cox""","""昆西·考克斯""","""""","""""",""""""
"""Benfrey Frey""","""本佛雷·佛雷""","""""","""""",""""""
"""City Watch of Oldtown""","""旧镇守备队""","""""","""""",""""""
"""House Lannister of Lannisport""","""兰尼斯港的兰尼斯特家族""","""""","""""",""""""
"""Tobho Mott""","""托布·莫特""","""""","""""",""""""
"""House Crane""","""克连恩家族""","""""","""""",""""""
"""Robar II Royce""","""罗拔·罗伊斯二世""","""""","""""",""""""
"""Jenny (Penny)""","""一铜板简妮""","""""","""""",""""""
"""House Hetherspoon""","""赫斯班家族""","""""","""""",""""""
"""Torentine""","""湍流河""","""""","""""",""""""
"""Warrior (the Seven)""","""战士""","""""","""""",""""""
"""Cersei Lannister""","""瑟曦·兰尼斯特""","""""","""""",""""""
"""Walder Haigh""","""瓦德·海伊""","""""","""""",""""""
"""Garth Tyrell""","""加尔斯·提利尔""","""""","""""",""""""
"""Oswell Whent""","""奥斯威尔·河安""","""""","""""",""""""
"""Carrot""","""卡罗特""","""""","""""",""""""
"""Benedar Belmore""","""本内达·贝尔摩""","""""","""""",""""""
"""Poxy Tym""","""麻脸提姆""","""""","""""",""""""
"""Silverwing""","""银翼""","""""","""""",""""""
"""Lync""","""林克""","""""","""""",""""""
"""Ironbelly""","""铁肚子""","""""","""""",""""""
"""Elinor Tyrell""","""埃萝·提利尔""","""""","""""",""""""
"""Harlan Grandison""","""哈兰·格兰德森""","""""","""""",""""""
"""Lady Joanna (ship)""","""乔安娜夫人号""","""""","""""",""""""
"""Galladon of Tarth""","""塔斯的加勒敦""","""""","""""",""""""
"""Myles Mooton""","""米斯·慕顿""","""""","""""",""""""
"""Merling Rock""","""美人鱼礁""","""""","""""",""""""
"""Blacktyde""","""黑潮岛""","""""","""""",""""""
"""Mathos II Arryn""","""马索斯·艾林二世""","""""","""""",""""""
"""Layna""","""蕾娜""","""""","""""",""""""
"""King of the Rock""","""凯岩王""","""""","""""",""""""
"""Byron""","""拜伦""","""""","""""",""""""
"""Ocley""","""奥斯理""","""""","""""",""""""
"""House Hogg""","""霍格家族""","""""","""""",""""""
"""Smiler""","""笑星""","""""","""""",""""""
"""Harrion Karstark""","""哈利昂·卡史塔克""","""""","""""",""""""
"""The Ship""","""戏子船""","""""","""""",""""""
"""Tyrek Lannister""","""提瑞克·兰尼斯特""","""""","""""",""""""
"""Joseth Mallister""","""乔赛斯·梅蓝新娘号""","""""","""""",""""""
"""Iron Wind""","""铁风号""","""""","""""",""""""
"""Lonely Light""","""孤灯堡""","""""","""""",""""""
"""Maiden (the Seven)""","""少女""","""""","""""",""""""
"""Aquan the Red Bull""","""红牛阿昆""","""""","""""",""""""
"""Outcast Inn""","""放逐者旅馆""","""""","""""",""""""
"""Donnel Locke""","""唐纳·洛克""","""""","""""",""""""
"""Griffin King""","""狮鹫王""","""""","""""",""""""
"""Jeyne Rivers""","""简妮·河文""","""""","""""",""""""
"""Old Oak""","""古橡城""","""""","""""",""""""
"""Donnel Arryn""","""唐纳尔·艾林""","""""","""""",""""""
"""Rhaenys Targaryen""","""雷妮丝·坦格利安""","""""","""""",""""""
"""Garth VII Gardener""","""加尔斯·园丁七世""","""""","""""",""""""
"""War of the Usurper""","""篡夺者战争""","""""","""""",""""""
"""Bloody flux""","""血瘟""","""""","""""",""""""
"""Greenshield""","""绿盾岛""","""""","""""",""""""
"""Joffrey Lannister""","""乔佛里·兰尼斯特""","""""","""""",""""""
"""Quiet Isle""","""寂静岛""","""""","""""",""""""
"""Willamen Frey""","""威廉学士""","""""","""""",""""""
"""Fishfoot Yard""","""鱼王广场""","""""","""""",""""""
"""Willam Wells""","""威廉·威尔斯""","""""","""""",""""""
"""Crannogmen""","""泽地人""","""""","""""",""""""
"""Tarbeck Hall""","""塔贝克厅""","""""","""""",""""""
"""Armond Connington""","""亚蒙德·克林顿""","""""","""""",""""""
"""R'hllor""","""拉赫洛""","""""","""""",""""""
"""Isle of Whips""","""鞭岛""","""""","""""",""""""
"""House of the Red Hands""","""红手之院""","""""","""""",""""""
"""Cleyton Caswell""","""克雷顿·卡斯威""","""""","""""",""""""
"""chapters Chapter Summaries""","""导航:章节""","""""","""""",""""""
"""Alaric of Eysen""","""伊森人阿里克""","""""","""""",""""""
"""Rogare Family""","""罗佳尔家族""","""""","""""",""""""
"""Baela Targaryen""","""贝妮拉·坦格利安""","""""","""""",""""""
"""Glendon Hewett""","""葛兰登·赫威特""","""""","""""",""""""
"""Tragedy at Summerhall""","""盛夏厅的悲剧""","""""","""""",""""""
"""Dywen""","""戴文""","""""","""""",""""""
"""Hali""","""哈莉""","""""","""""",""""""
"""Maegor I Targaryen""","""梅葛·坦格利安一世""","""""","""""",""""""
"""N'Ghai""","""尼盖尔""","""""","""""",""""""
"""Aron Santagar""","""艾伦·桑塔加""","""""","""""",""""""
"""Robert Frey (Disambiguation)""","""劳勃·佛雷(消歧义)""","""""","""""",""""""
"""House Payne""","""派恩家族""","""""","""""",""""""
"""Wind Witch""","""风之巫女号""","""""","""""",""""""
"""Elwood (disambiguation)""","""埃伍德(消歧义)""","""""","""""",""""""
"""Danwell Frey""","""丹威尔·佛雷""","""""","""""",""""""
"""Gynir""","""加尼""","""""","""""",""""""
"""The Lineages and Histories of the Great Houses of the Seven Kingdoms""","""七国主要贵族之世家谱系与历史(内附许多关于爵爷夫人和他们子女的描述)""","""""","""""",""""""
"""Volaenia""","""瓦兰娜河""","""""","""""",""""""
"""Mors II Martell""","""莫尔斯·马泰尔二世""","""""","""""",""""""
"""Downdelving""","""深钻厅""","""""","""""",""""""
"""Iron Kiss""","""铁吻号""","""""","""""",""""""
"""House Corbray""","""科布瑞家族""","""""","""""",""""""
"""Jocelyn Baratheon""","""乔斯琳·拜拉席恩""","""""","""""",""""""
"""Big Willow""","""大柳江""","""""","""""",""""""
"""Benerro""","""本内罗""","""""","""""",""""""
"""Rolly Duckfield""","""罗利·达克菲""","""""","""""",""""""
"""House Slate""","""史拉特家族""","""""","""""",""""""
"""Piety""","""虔诚号""","""""","""""",""""""
"""Donnel Drumm""","""唐纳·卓鼓""","""""","""""",""""""
"""Lady Whiskers (cat)""","""胡须小姐""","""""","""""",""""""
"""Moat Cailin""","""卡林湾""","""""","""""",""""""
"""Gendry""","""詹德利""","""""","""""",""""""
"""House Hightower""","""海塔尔家族""","""""","""""",""""""
"""The Bear and the Maiden Fair""","""狗熊与美少女""","""""","""""",""""""
"""Koj""","""鹿儿岛""","""""","""""",""""""
"""Quenten Banefort""","""昆腾·班佛特""","""""","""""",""""""
"""Galendro""","""加兰多""","""""","""""",""""""
"""Karyl Vance""","""卡列尔·凡斯""","""""","""""",""""""
"""Steffarion Sparr""","""斯塔法伦·斯帕""","""""","""""",""""""
